mut_type,protein_id,shine_dal,length,concentration,hamming_dist,dist_next_protein,nb_proteins,dna_length
 ,23,4281,20,0,4,399,120,10541
 ,24,4380,38,0,4,99,120,10541
 ,25,4428,22,0,4,48,120,10541
 ,26,4518,4,0,4,90,120,10541
 ,27,4670,15,0,4,152,120,10541
 ,28,4750,12,0,4,80,120,10541
 ,29,4875,20,0,4,125,120,10541
 ,30,4973,6,0,4,98,120,10541
 ,31,5021,7,0,4,48,120,10541
 ,32,5101,22,0,4,80,120,10541
 ,33,5299,11,0,3,198,120,10541
 ,34,5691,9,0,3,392,120,10541
 ,35,6194,12,0,4,503,120,10541
 ,36,6304,29,0,4,110,120,10541
 ,37,6366,15,0,4,62,120,10541
 ,38,6453,7,0,4,87,120,10541
 ,39,6528,19,0,2,75,120,10541
 ,40,6615,36,0,4,87,120,10541
 ,41,6683,8,0,4,68,120,10541
 ,42,6746,22,0,4,63,120,10541
 ,43,6793,5,0,4,47,120,10541
 ,44,7666,21,0,4,873,120,10541
 ,45,7743,23,0,4,77,120,10541
 ,46,8124,28,0,4,381,120,10541
 ,47,8142,22,0,4,18,120,10541
 ,48,8917,16,0,3,775,120,10541
 ,49,9003,26,0,4,86,120,10541
 ,50,9699,11,0,2,696,120,10541
 ,51,9800,20,0,3,101,120,10541
 ,52,10192,32,0,2,392,120,10541
 ,53,10263,27,0,2,71,120,10541
 ,54,10403,12,0,4,454,120,10541
 ,55,10127,39,0,9,572,120,10541
 ,56,10091,27,0,9,36,120,10541
 ,57,9957,33,0,9,134,120,10541
 ,58,9659,10,0,12,298,120,10541
 ,59,9594,10,0,12,65,120,10541
 ,60,9290,34,0,14,304,120,10541
 ,61,8839,18,0,14,451,120,10541
 ,62,8804,30,0,14,35,120,10541
 ,63,8677,17,0,14,127,120,10541
 ,64,8073,39,0,16,604,120,10541
 ,65,8038,5,0,16,35,120,10541
 ,66,7955,24,0,16,83,120,10541
 ,67,7641,29,0,12,314,120,10541
 ,68,7584,10,0,12,57,120,10541
 ,69,7536,16,0,9,48,120,10541
 ,70,7533,15,0,9,3,120,10541
 ,71,7465,36,0,9,68,120,10541
 ,72,7417,20,0,9,48,120,10541
 ,73,7288,5,0,9,129,120,10541
 ,74,7219,4,0,9,69,120,10541
 ,75,7165,14,0,9,54,120,10541
 ,76,7109,49,0,9,56,120,10541
 ,77,7106,48,0,9,3,120,10541
 ,78,7019,19,0,9,87,120,10541
 ,79,6283,4,0,7,736,120,10541
 ,80,6237,5,0,7,46,120,10541
 ,81,6164,14,0,7,73,120,10541
 ,82,6126,18,0,7,38,120,10541
 ,83,6021,13,0,11,105,120,10541
 ,84,5956,36,0,11,65,120,10541
 ,85,5847,22,0,11,109,120,10541
 ,86,5780,28,0,11,67,120,10541
 ,87,5665,17,0,11,115,120,10541
 ,88,5579,20,0,11,86,120,10541
 ,89,5501,34,0,11,78,120,10541
 ,90,5462,21,0,11,39,120,10541
 ,91,5397,12,0,11,65,120,10541
 ,92,4776,26,0,8,621,120,10541
 ,93,4640,19,0,8,136,120,10541
 ,94,4582,23,0,8,58,120,10541
 ,95,4282,25,0,8,300,120,10541
 ,96,4209,19,0,8,73,120,10541
 ,97,4156,24,0,8,53,120,10541
 ,98,4053,17,0,8,103,120,10541
 ,99,4001,27,0,8,52,120,10541
 ,100,3634,20,0,8,367,120,10541
 ,101,3052,20,0,15,582,120,10541
 ,102,2918,23,0,15,134,120,10541
 ,103,2651,9,0,15,267,120,10541
 ,104,2328,6,0,8,323,120,10541
 ,105,2182,29,0,11,146,120,10541
 ,106,2179,28,0,11,3,120,10541
 ,107,1942,13,0,11,237,120,10541
