event_type,protein_id, protein parent id,shine_dal,length,concentration,hamming_dist,dist_next_protein,nb_proteins,dna_length,m,w,h,c,f
initial,70,0,8038,5,0,16,35,127,10541,0,0.00666667,-1,0.4,functional
initial,71,0,7955,24,0,16,83,127,10541,0.606654,0.00571429,0.464225,0.4,functional
initial,72,0,7641,29,0,12,314,127,10541,0.187867,0.00988235,0.155556,0.2,functional
initial,73,0,7584,10,0,12,57,127,10541,0.755906,0.01,1,0.2,functional
initial,74,0,7536,16,0,9,48,127,10541,0.874016,0.01,-0.269841,0.2,functional
initial,75,0,7533,15,0,9,3,127,10541,0.874016,0.01,0.483871,0.2,functional
initial,76,0,7465,36,0,9,68,127,10541,0.285714,0.00205279,-0.193399,0.2,functional
initial,77,0,7417,20,0,9,48,127,10541,0.580645,0.00714286,0.510763,0.2,functional
initial,78,0,7288,5,0,9,129,127,10541,0.714286,0.01,1,0.4,functional
initial,79,0,7219,4,0,9,69,127,10541,0.666667,0.01,1,0.4,functional
initial,80,0,7165,14,0,9,54,127,10541,0.285714,0.01,0.513725,0.4,functional
initial,81,0,7109,49,0,9,56,127,10541,0.698019,0.00972603,-0.212915,0.4,functional
initial,82,0,7106,48,0,9,3,127,10541,0.698019,0.00972603,0.574169,0.4,functional
initial,83,0,7019,19,0,9,87,127,10541,0.654902,0.00933333,0.496063,0.4,functional
initial,84,0,6283,4,0,7,736,127,10541,1,0,-1,0.4,non functional
initial,85,0,6237,5,0,7,46,127,10541,1,0,-1,0.4,non functional
initial,86,0,6164,14,0,7,73,127,10541,0.866667,0.00333333,0.047619,0.4,functional
initial,87,0,6126,18,0,7,38,127,10541,0.314961,0.008,0.559055,0.4,functional
initial,88,0,6021,13,0,11,105,127,10541,0.666667,0.01,0.612903,0.4,functional
initial,89,0,5956,36,0,11,65,127,10541,0.323077,0.00747421,0.781036,0.4,functional
initial,90,0,5847,22,0,11,109,127,10541,0.629921,0.00677419,0.478006,0.4,functional
initial,91,0,5780,28,0,11,67,127,10541,0.370079,0.00685039,0.506806,0.4,functional
initial,92,0,5665,17,0,11,115,127,10541,0.629921,0.00714286,0.496063,0.4,functional
initial,93,0,5579,20,0,11,86,127,10541,0.349206,0.00666667,0.497556,0.6,functional
initial,94,0,5501,34,0,11,78,127,10541,0.849084,0.00796477,0.102674,0.6,functional
initial,95,0,5462,21,0,11,39,127,10541,0.792564,0.00741935,0.433071,0.6,functional
initial,96,0,5397,12,0,11,65,127,10541,0.4,0.00285714,-0.16129,0.6,functional
initial,97,0,5118,14,0,13,279,127,10541,0.897638,0.01,0.0322581,0.4,functional
initial,98,0,4710,35,0,14,408,127,10541,0.174603,0.00998779,0.123544,0.2,functional
initial,99,0,4662,19,0,14,48,127,10541,0.733333,0.000393701,-0.254902,0.2,functional
initial,100,0,4607,15,0,14,55,127,10541,0.466667,0,-0.952756,0.2,non functional
initial,101,0,4604,14,0,14,3,127,10541,0.466667,0,-0.904762,0.2,non functional
initial,102,0,4345,14,0,10,259,127,10541,0.2,0.01,0.259843,0.2,functional
initial,103,0,4289,12,0,10,56,127,10541,0.700787,0.01,0.714286,0.4,functional
initial,104,0,4131,14,0,12,158,127,10541,0.83871,0.00285714,-0.206349,0.2,functional
initial,105,0,3454,26,0,8,677,127,10541,0.886275,0.00469208,0.129412,0.2,functional
initial,106,0,3318,19,0,8,136,127,10541,0.645161,0.00677419,0.499022,0.4,functional
initial,107,0,3260,23,0,8,58,127,10541,0.622047,0.00741935,0.522228,0.4,functional
initial,108,0,2960,25,0,8,300,127,10541,0.631373,0.00705882,0.48728,0.4,functional
initial,109,0,2887,19,0,8,73,127,10541,0.333333,0.00290323,-0.309873,0.4,functional
initial,110,0,2834,24,0,8,53,127,10541,0.377953,0.0068254,0.514411,0.4,functional
initial,111,0,2731,17,0,8,103,127,10541,0.637795,0.00714286,0.496063,0.4,functional
initial,112,0,2679,27,0,8,52,127,10541,0.686275,0.00612524,0.485826,0.4,functional
initial,113,0,2312,20,0,8,367,127,10541,0.622047,0.00857143,0.517107,0.4,functional
initial,114,0,1730,20,0,15,582,127,10541,0.387097,0.00952381,0.522505,0.6,functional
initial,115,0,1596,23,0,15,134,127,10541,0.653543,0.00945098,0.443137,0.6,functional
initial,116,0,1329,9,0,15,267,127,10541,0.428571,0.01,0.0666667,0.6,functional
initial,117,0,1223,39,0,7,106,127,10541,0.199413,0.00604884,-0.0619893,0.2,functional
initial,118,0,1159,2,0,7,64,127,10541,0.5,0,-1,0.2,non functional
initial,119,0,1105,28,0,7,54,127,10541,0.55132,0.00935484,0.541204,0.2,functional
initial,120,0,1019,14,0,7,86,127,10541,0.322581,0.00258065,-0.333333,0.2,functional
initial,121,0,773,23,0,14,246,127,10541,0.656166,0.01,0.480315,0.4,functional
initial,122,0,416,7,0,11,357,127,10541,0,0.01,-1,0.4,functional
initial,123,0,309,16,0,11,107,127,10541,0.307087,0.00857143,0.52381,0.4,functional
initial,124,0,244,24,0,11,65,127,10541,0.745055,0.01,-0.0793651,0.4,functional
initial,125,0,241,23,0,11,3,127,10541,0.745055,0.01,0.870968,0.4,functional
initial,126,0,158,19,0,11,572,127,10541,0.580645,0.00714286,0.517342,0.4,functional
